lon,lat,zip
-75.39,40.662,18017
-75.473,40.604,18103
-75.504,40.657,18052
-75.481,40.607,18102
-76.673,39.936,17331
-75.928,40.361,19604
-76.367,40.009,17603
-75.379,40.625,18018
-77.592,39.794,17268
-75.352,40.589,18015
-76.437,40.381,17046
-77.666,39.908,17201
-75.875,40.335,19606
-75.942,40.405,19605
-75.988,40.299,19607
-77.63,40.565,17044
-77.227,39.841,17325
-76.311,40.077,17601
-76.25,40.004,17602
-75.265,40.683,18042
-75.545,40.621,18104
-76.736,40.87,17801
-75.94,40.357,19601
-76.72,40.191,17057
-76.455,40.135,17543
-75.936,40.316,19608
-76.398,40.332,17042
-77.46,40.071,17257
-77.077,39.882,17350
-76.357,40.17,17522
-75.471,40.693,18109
-76.552,40.792,17866
-76.155,40.602,17972
-75.978,40.338,19610
-76.82,40.291,17109
-76.885,40.005,17315
-76.616,39.906,17356
-76.578,39.935,17404
-75.273,40.738,18064
-75.887,40.405,19508
-76.861,40.272,17103
-77.53,39.9,17222
-76.369,40.117,17512
-76.647,40.992,17821
-75.287,40.696,18045
-77.773,40.898,16823
-76.36,40.368,17067
-76.802,40.272,17111
-77.118,40.78,17842
-76.283,40.709,17901
-75.365,40.724,18067
-76.3,41.056,18603
-75.808,40.326,19522
-76.61,40.151,17022
-76.987,40.236,17025
-77.177,40.181,17055
-77.317,40.571,17059
-76.417,40.318,17078
-76.866,40.302,17110
-77.799,39.819,17236
-76.776,39.945,17362
-76.69,40.002,17402
-75.541,40.551,18031
-75.472,40.603,18032
-75.49,40.617,18037
-75.496,40.521,18049
-75.591,40.582,18106
-75.888,40.371,19510
-75.916,40.327,19602
-77.868,40.882,16801
-77.229,40.168,17013
-76.79,40.344,17112
-77.726,39.806,17225
-77.554,39.836,17237
-76.654,39.912,17313
-77.027,39.877,17316
-76.595,40.005,17406
-76.149,39.856,17566
-76.431,41.006,17815
-75.209,40.806,18040
-75.622,40.63,18069
-75.258,40.841,18072
-75.619,40.735,18080
-75.89,40.396,19560
-75.991,40.328,19609
-76.436,40.353,17003
-77.395,40.55,17082
-76.858,40.254,17104
-76.842,40.239,17113
-76.553,39.943,17347
-76.727,39.963,17401
-76.074,40.146,17557
-76.948,40.97,17837
-77.15,40.767,17841
-76.848,40.994,17847
-76.306,40.733,17948
-75.314,40.589,18055
-75.857,40.42,19533
-75.805,40.322,19540
-77.079,40.252,17011
-76.481,40.431,17038
-77.129,40.506,17074
-76.891,40.273,17102
-76.798,40.151,17319
-77.023,39.801,17344
-76.666,39.939,17403
-76.02,40.143,17519
-76.192,40.101,17540
-76.464,40.156,17545
-76.354,40.114,17552
-76.33,40.169,17578
-77.011,40.948,17844
-76.784,40.908,17857
-76.349,40.693,17931
-76.271,40.795,17935
-76.307,40.695,17981
-75.315,40.766,18013
-75.335,40.669,18020
-75.565,40.518,18062
-75.311,40.801,18091
-75.862,40.368,19526
-75.883,40.628,19529
-75.939,40.304,19611
-76.683,40.373,17028
-77.346,40.479,17035
-77.026,40.325,17053
-77.493,40.74,17063
-76.898,40.264,17070
-77.235,40.565,17094
-77.812,39.916,17252
-76.995,39.897,17301
-76.544,39.792,17314
-77.095,39.83,17340
-76.607,39.809,17363
-76.361,40.13,17501
-76.338,40.188,17517
-76.357,40.097,17520
-76.022,40.012,17527
-76.237,40.032,17551
-76.85,41.098,17777
-76.551,40.859,17824
-76.438,40.773,17840
-77.082,40.978,17845
-76.429,40.804,17851
-76.858,40.826,17870
-76.602,40.792,17872
-75.412,40.544,18034
-75.906,40.455,19506
-76.269,40.491,19507
-75.926,40.433,19567
-77.83,40.914,16870
-76.783,40.34,17036
-76.79,40.559,17048
-77.306,40.652,17049
-77.735,40.478,17051
-76.261,40.314,17073
-76.696,40.588,17098
-77.568,40.645,17099
-78.122,39.944,17212
-77.471,39.74,17214
-77.981,39.929,17233
-77.47,40.175,17240
-77.672,40.049,17246
-77.394,39.883,17353
-76.678,39.994,17368
-76.04,39.904,17509
-76.262,40.026,17516
-76.239,40.044,17528
-76.281,39.866,17532
-76.361,40.112,17538
-76.486,40.062,17547
-76.155,39.845,17563
-76.091,40.153,17569
-76.114,40.082,17579
-77.17,40.755,17813
-76.665,40.89,17830
-76.477,40.794,17834
-76.303,40.693,17921
-76.149,40.598,17922
-76.335,40.749,17936
-76.156,40.675,17959
-76.337,40.577,17963
-75.603,40.514,18011
-75.411,40.502,18036
-75.759,40.653,18066
-75.429,40.76,18088
-75.849,40.365,19518
-75.775,40.473,19530
-76.038,40.401,19541
-75.963,40.388,19603
-77.758,40.879,16803
-77.456,40.899,16820
